콘텐츠명,등급,장애인전용객실여부,애완동물동반허용여부,조식제공여부,부대시설기타,LATE체크인여부,셔틀버스운행여부
체이슨호텔 더 리드,0,X,X,O,스마트오피스,X,X
스마일모텔,0,X,X,X,정보 없음,X,X
신화관 제주신화월드 호텔 앤 리조트,0,X,X,X,정보 없음,O,O
켄싱턴리조트 서귀포,4,X,X,O,"키즈라운지, 펀스테이션, 해수사우나, 세탁실, 노래방, 편의점",O,X
제주유스호스텔,0,O,X,O,500명 수용 공연장,O,X
추자도민박,0,X,X,O,정보 없음,O,O
여정여관,0,X,X,X,정보 없음,O,X
제주머무리,0,X,X,X,농장둘레길,O,X
클럽ES리조트 제주,0,O,X,O,"게임룸, 키즈룸, 어린이놀이터, 숲쉼터,편의점",O,X
호텔 앨리스앤트렁크,4,O,X,X,바,O,X
빌라비하우스,0,X,X,X,정보 없음,X,X
공감민박,0,X,X,X,정보 없음,O,X
더오라,0,X,X,X,정보 없음,O,X
심스호텔,3,O,X,O,정보 없음,X,X
뚜르드제주,0,X,X,X,카페,X,X
시니스테이 민박,0,X,X,X,"1층 로비(숙박하시는 분들 아침식사 장소 및 식음료장, 단체손님들 세미나실로 활용 가능)",O,X
무뚱하우스,0,X,O,X,"뱌베큐, 세탁기, 월풀, 애기의자, ",O,O
스카이 힐 비지니스호텔,3,O,X,X,정보 없음,O,X
제주부영청소년수련원,0,O,X,X,정보 없음,X,X
온평가 민박,0,X,X,X,정보 없음,O,X
한담풍경하우스,0,O,X,X,사무실옆 세탁실사용가능,O,X
씨사이드아덴,0,O,X,X,객실 내 취사가능,O,X
빠레브호텔,4,X,X,X,정보 없음,X,X
더큐브리조트 제주,3,O,X,O,정보 없음,X,X
힐파크모텔,0,X,X,X,정보 없음,O,X
청재설헌,0,X,X,X,정보 없음,X,X
제주밭담숲,0,X,X,X,정보 없음,X,X
더그랜드섬오름,4,O,X,O,정보 없음,X,X
보로미 민박,0,X,X,X,정보 없음,O,X
더포그레이스 호텔앤리조트,4,O,X,O,급속 전기차 충전소,O,X
김군아미고게스트하우스,0,X,X,X,"주차장, 파티룸",O,X
제주공항 게스트하우스 예스준,0,X,X,X,"레스토랑, 카페, 펍, 제주감성소품샵",O,X
태성민박,0,X,X,O,정보 없음,O,O
김선장네 민박,0,X,X,X,정보 없음,O,O
밀물민박,0,X,X,O,정보 없음,O,O
유심이감성하우스민박,0,X,X,O,정보 없음,O,O
 에코랜드호텔,5,X,X,X,정보 없음,X,X
인추자커피앤민박,0,X,X,X,정보 없음,O,X
뉴아일랜드민박,0,X,X,O,정보 없음,O,O
추사랑민박,0,X,X,O,정보 없음,O,O
추자도휴양펜션,0,X,X,O,정보 없음,O,O
별장민박,0,X,X,O,정보 없음,O,X
그린민박,0,X,X,O,정보 없음,O,O
다미네민박,0,X,X,X,정보 없음,O,O
레몬이네 민박,0,X,X,O,정보 없음,O,O
조은민박,0,X,X,O,정보 없음,O,O
신등대민박,0,X,X,O,정보 없음,O,X
물돌이민박,0,X,X,O,정보 없음,O,O
케니스토리 인 서귀포 ,0,X,X,O,도서관,O,X
제주둥지펜션,0,X,X,X,"온수수영장, 산양먹이주기체험",O,X
제주소풍(월정리),0,X,X,X,정보 없음,X,X
골드원?호텔 & 스위트,4,X,X,X,정보 없음,X,X
제주올레돔,0,X,X,X,정보 없음,X,X
협재해오름펜션,0,X,X,X,주방조리가능,X,X
이안재 ,0,X,X,X,정보 없음,X,X
다락마마,0,X,X,X,정보 없음,O,X
한림 퐁낭하우스 펜션,0,X,O,X,정보 없음,X,X
d,0,X,X,X,정보 없음,X,X
동복리671,1,X,X,X,기타궁금한거문의주세요,O,X
슬로우리제주 민박,0,X,X,X,정보 없음,O,X
호텔서귀피안,0,X,X,O,정보 없음,O,X
고려민박,0,X,O,X,정보 없음,O,O
추자피싱랜드,0,X,X,O,정보 없음,O,O
레드우드하우스,0,X,X,X,"개인욕실, 에어컨, 온풍기, 침대, 테이블, 샤워용품, 정원",O,X
엔젤하우스 펜션,0,X,O,X,"카페휴게실,",O,X
피디스테이션,0,X,X,X,무료 주차장,O,X
콤포스텔라 별들의들판,0,X,X,X,자전거 대여,O,X
파도봐펜션,0,X,O,X,퍼터연습장,X,X
돌담길,0,X,X,O,정보 없음,O,X
밧돌펜션하우스,0,X,X,X,정보 없음,X,X
민박집섶낭,0,X,X,X,"에어컨, 냉장고, 드럼세탁기, 전기쿡탑, 전기포트, 각종 주방용품 및 욕실용품, 책들, 커피, 블루투스스피커 등",O,X
경소하라하우스 제주독채펜션,0,X,X,X,"밖거리(키친동),55인치 텔레비젼, 오락실 게임기, 기가지니",O,X
오후여섯시펜션,0,X,X,X,1층 카페/ 옥상전망대/야외바베큐장,X,X
호텔아로하,0,X,X,X,정보 없음,X,X
봉골레 하우스 민박,0,X,X,O,정보 없음,O,O
태흥여관,0,X,X,X,정보 없음,O,X
유창민박,0,X,X,O,정보 없음,O,O
등대민박,0,X,X,O,정보 없음,O,X
우연히 행복해지다 펜션,0,X,X,X,정보 없음,X,X
바다와자전거 게스트하우스,0,X,X,X,정보 없음,X,X
제주토비스콘도,3,X,X,O,"한식당, 노래방, 편의점, 족구장",X,X
돌담한길펜션,0,X,X,X,정보 없음,X,X
돌꽃펜션,0,X,X,X,정보 없음,X,X
씨오르리조트,0,X,X,O,"노래연습장, 매점",X,X
씨스테이 리틀해녀 블루,3,X,X,X,정보 없음,X,X
제주나인리조트,2,X,X,X,정보 없음,X,X
헤이 서귀포,0,X,X,X,정보 없음,X,X
파르나스 호텔 제주,5,O,X,O,정보 없음,O,X
호텔 징크,0,X,X,X,정보 없음,O,X
누울,0,X,X,X,정보 없음,X,X
스___,0,X,X,X,정보 없음,X,X
옛마을펜션,0,X,O,X,정보 없음,X,X
소노캄제주(미공개),0,X,O,X,정보 없음,X,X
산방산파크텔,0,X,O,X,정보 없음,O,O
누구하나,0,X,X,X,정보 없음,O,X
오션패밀리호텔,2,X,X,X,정보 없음,X,X
블룸호텔,0,X,X,X,정보 없음,X,X
코쿤호텔,0,X,X,X,정보 없음,X,X
호텔 캘리포니아 제주,0,X,X,X,정보 없음,X,X
비스타케이호텔월드컵,0,X,X,X,정보 없음,X,X
씨앤하우스,0,X,X,X,정보 없음,X,X
벙커호텔앤리조트,0,X,X,X,정보 없음,X,X
제주리시온관광호텔,1,X,X,X,정보 없음,X,X
제주아이니,0,X,X,X,정보 없음,X,X
히든스테이,0,X,X,X,정보 없음,X,X
쉼멍스테이,0,X,O,X,정보 없음,X,X
캐슬드한림미사용,0,X,X,X,노천탕,O,X
369펜션,0,X,X,X,정보 없음,X,X
소노벨제주,0,X,O,X,정보 없음,X,X
명상가의집,3,X,O,X,정보 없음,X,X
제주폴리폴리,0,X,X,X,정보 없음,X,X
올레리조트,0,X,X,X,정보 없음,X,X
산방산호텔,0,X,X,X,정보 없음,X,X
포트애비뉴,0,X,X,X,정보 없음,X,X
토리코티지X하시시박,0,X,X,X,정보 없음,X,X
디앤디파트먼트 제주 droom,0,X,X,X,정보 없음,X,X
캠파제주,0,X,O,X,정보 없음,X,X
중복 미공개,0,O,X,O,정보 없음,O,X
더오크라호텔,2,X,X,X,로비 내 무인편의점,O,X
메종드씨엘하버39호텔,3,X,X,X,정보 없음,X,X
오션갤러리호텔앤리조트,0,X,X,X,정보 없음,X,X
켄싱턴리조트 제주중문,0,X,X,X,정보 없음,X,X
하이제주호텔,0,X,O,X,정보 없음,X,X
아이미 제주비치 호텔,0,X,X,X,정보 없음,X,X
코업시티호텔성산,0,X,X,X,정보 없음,X,X
헤세드하우스,0,X,X,X,정보 없음,X,X
라헨느리조트,0,X,X,X,정보 없음,X,X
월령채,0,X,X,X,정보 없음,X,X
코사이어티 빌리지 제주,0,X,X,X,정보 없음,X,X
야크마을,0,O,O,O,정보 없음,O,X
월령지헌,0,X,X,X,정보 없음,X,X
유수암캠핑장,0,X,O,X,정보 없음,X,X
채우리네펜션,0,X,O,X,정보 없음,X,X
삭제요청 4,0,X,O,X,정보 없음,X,X
이디완,0,X,X,X,정보 없음,X,X
제주오션뷰펜션,0,X,X,X,공용세탁실,X,X
탑아일랜드호텔,2,X,X,X,로비 내 편의점,O,X
용수차경,0,X,X,X,정보 없음,X,X
노티드 제주,0,X,X,X,정보 없음,X,X
오크하우스,0,X,X,X,"캠핑공간 이용, 바베큐 이용, 캠핑장비대여",X,X
에스케이핀크스 주식회사,0,O,X,O,"테니스장, 북카페, 온천",O,X
ddd,0,X,X,X,정보 없음,X,X
아띠랑스 풀앤스파 호텔,0,X,X,X,정보 없음,X,X
하늘만큼 땅만큼 펜션,0,X,X,X,정보 없음,X,X
서귀포힐즈호텔,0,O,X,X,정보 없음,O,X
연미동산 민박,0,X,X,X,정보 없음,X,X
고산별곡,0,X,X,X,정보 없음,X,X
빌라사계,0,X,X,X,정보 없음,X,X
임진고택,0,X,X,X,정보 없음,X,X
북극에서 만나 행복하자,0,X,X,X,정보 없음,X,X
곁겹,0,X,X,X,정보 없음,X,X
구르미별동,5,X,X,X,정보 없음,O,X
시루네펜션,0,X,O,X,정보 없음,X,X
에퀴녹스 드 협재 펜션,0,X,O,X,정보 없음,X,X
용산제주유스호스텔,0,X,X,O,"세탁실, 노래방, 탁구장, 당구장, 트렘폴린, 플레이스테이션",O,X
중복중복____________,0,X,O,X,정보 없음,O,X
우연한동,0,X,X,X,정보 없음,X,X
디셈버호텔,0,X,X,X,정보 없음,X,X
제주 빠레브호텔,4,X,X,X,정보 없음,X,X
제주신라호텔,0,X,X,X,정보 없음,X,X
스위트호텔 제주,0,X,X,X,정보 없음,X,X
라마다프라자 제주호텔,0,X,X,X,정보 없음,O,X
CS빌리지,0,X,X,X,정보 없음,X,X
루스톤빌라앤호텔,0,X,X,X,정보 없음,X,X
하니크라운호텔,0,X,X,X,정보 없음,X,X
브리즈베이호텔,0,X,X,X,정보 없음,X,X
클레멘타인,0,X,X,X,정보 없음,X,X
세화리움,0,X,X,X,정보 없음,X,X
세화맨션,0,X,X,X,정보 없음,X,X
흰수염고래리조트,0,X,X,X,정보 없음,X,X
하늘고래블루,0,X,X,X,정보 없음,X,X
유러하우스,0,X,X,X,정보 없음,X,X
서귀포통나무집,0,X,X,X,정보 없음,X,X
밀레니엄빌,0,X,X,X,정보 없음,X,X
란펜션,0,X,X,X,정보 없음,X,X
오션트리,0,X,X,X,정보 없음,X,X
용두암빌리지,0,X,X,X,정보 없음,X,X
실크로드펜션,0,X,X,X,정보 없음,X,X
에띠에리조트,0,X,X,X,정보 없음,X,X
제주R호텔서귀포점,0,X,X,X,정보 없음,X,X
제주메이플호텔,0,X,X,X,정보 없음,X,X
비치스토리호텔,0,X,X,X,정보 없음,X,X
무이비엔,0,X,X,X,정보 없음,X,X
산호펜션,0,X,X,X,정보 없음,X,X
내도바당펜션,0,X,X,X,정보 없음,X,X
몽돌바당,0,X,X,X,정보 없음,X,X
나비스호텔,0,X,X,X,정보 없음,X,X
디스이즈핫,0,X,X,X,정보 없음,X,X
통나무파크,0,X,X,X,정보 없음,X,X
제주올레펜션,0,X,X,X,정보 없음,X,X
로그밸리,0,X,X,X,정보 없음,X,X
킹스통나무,0,X,X,X,정보 없음,X,X
아델리아빌,0,X,X,X,정보 없음,X,X
폴라리스펜션,0,X,X,X,정보 없음,X,X
오렌지펜션,0,X,X,X,정보 없음,X,X
파크빌리지,0,X,X,X,정보 없음,X,X
가파도상동펜션,0,X,X,X,정보 없음,X,X
블루오션,0,X,X,X,정보 없음,X,X
가파도민박,0,X,X,X,정보 없음,X,X
뿌리게스트하우스,0,X,X,X,정보 없음,X,X
소람민박,0,X,X,X,정보 없음,X,X
중문햇빛펜션,0,X,X,X,정보 없음,X,X
해피데이,0,X,X,X,정보 없음,X,X
제주올레캐슬휴양펜션,0,X,X,X,정보 없음,X,X
올레해오름펜션,0,X,X,X,정보 없음,X,X
목조 독채민박 멍3닷컴,0,X,X,X,정보 없음,X,X
스토리하우스펜션,0,X,X,X,정보 없음,X,X
아림민박,0,X,X,X,정보 없음,X,X
하늘타리펜션,0,X,X,X,정보 없음,X,X
그린나래,0,X,X,X,정보 없음,X,X
아일랜드펜션,0,X,X,X,정보 없음,X,X
돌담마을,0,X,X,X,정보 없음,X,X
해변여행,0,X,X,X,정보 없음,X,X
제주의시간은느리다,0,X,X,X,정보 없음,X,X
달집게스트하우스,0,X,X,X,정보 없음,X,X
이찌마루&잠비,0,X,X,X,정보 없음,X,X
제주를여행하는히치하이커를위한안내소,0,X,X,X,정보 없음,X,X
제주잔잔,0,X,X,X,정보 없음,X,X
리틀포레스트,0,X,X,X,정보 없음,X,X
너를만나행복해,0,X,X,X,정보 없음,X,X
동네형들게스트하우스,0,X,X,X,정보 없음,X,X
갯바위펜션,0,X,X,X,정보 없음,X,X
제주프렌즈펜션,0,X,X,X,정보 없음,X,X
귀덕리2723펜션,0,X,X,X,정보 없음,X,X
제주마로펜션,0,X,X,X,정보 없음,X,X
사랑이꽃피는민박,0,X,X,X,정보 없음,X,X
저스트슬립제주,0,X,X,X,정보 없음,X,X
그림같은풍경,0,X,X,X,정보 없음,X,X
마당돌펜션,0,X,X,X,정보 없음,X,X
해변산책펜션,0,X,X,X,정보 없음,X,X
더아름다운펜션,0,X,X,X,정보 없음,X,X
스토리빌,0,X,X,X,정보 없음,X,X
눈먼고래,0,X,X,X,정보 없음,X,X
도로시게스트하우스,0,X,X,X,정보 없음,X,X
제주앓이,0,X,O,X,정보 없음,X,X
소낭게스트하우스,0,X,X,X,정보 없음,X,X
리니민박(RINY),0,X,X,X,정보 없음,X,X
히든클리프 호텔 앤 네이쳐,0,X,X,X,정보 없음,X,X
하늘정원펜션,0,X,X,X,정보 없음,X,X
아이비테라스,0,X,X,X,정보 없음,X,X
파밀리아호텔,0,X,X,X,정보 없음,X,X
종달스토리,0,X,X,X,정보 없음,X,X
수앤수가족호텔,0,X,X,X,정보 없음,X,X
스테이지게스트하우스(폐업),0,X,X,X,정보 없음,X,X
플레이스 캠프 제주,0,X,X,X,정보 없음,X,X
펜션 에덴호스텔,0,X,X,X,정보 없음,X,X
루피게스트하우스,0,X,X,X,정보 없음,X,X
단추스테이,0,X,X,X,정보 없음,X,X
모루티,0,X,X,X,정보 없음,X,X
제주 스카이라인 휴양펜션,0,X,X,X,정보 없음,X,X
제주자연인펜션글램핑,0,X,X,X,정보 없음,X,X
힐링 게스트하우스,0,X,X,X,정보 없음,X,X
비아제주Stay,0,X,X,X,정보 없음,X,X
제주서울민박,0,X,X,X,정보 없음,X,X
애월해안누리펜션(구 하얀둥지펜션),0,X,X,X,정보 없음,X,X
솔민박,0,X,X,X,정보 없음,X,X
하워드존슨 제주 연동 호텔,0,X,X,X,정보 없음,X,X
조이다이브 게스트하우스,0,X,X,X,정보 없음,X,X
힐링캠프펜션,0,X,X,X,정보 없음,X,X
민준채,0,X,X,X,정보 없음,X,X
마레카펜션,0,X,X,X,정보 없음,X,X
제주스웨덴리조트펜션,0,X,X,X,정보 없음,X,X
블루펄리조트,0,X,X,X,정보 없음,X,X
제주와요펜션,0,X,X,X,정보 없음,X,X
제주펜션향림원,0,X,X,X,정보 없음,X,X
파인빌,0,X,X,X,정보 없음,X,X
썬베이펜션,0,X,X,X,정보 없음,X,X
다이브게스트하우스,0,X,X,X,정보 없음,X,X
바다향기펜션,0,X,X,X,정보 없음,X,X
강정서부민박,0,X,X,X,정보 없음,X,X
올레요리조트,0,X,X,X,정보 없음,X,X
제주 에코 스위츠 펜션,0,X,X,X,정보 없음,X,X
인더 하우스,0,X,X,X,정보 없음,X,X
예촌민박,0,X,X,X,정보 없음,X,X
제주도푸른바다,0,X,X,X,정보 없음,X,X
중문통나무펜션리조트,0,X,X,X,정보 없음,X,X
바다산책,0,X,X,X,정보 없음,X,X
보리게스트하우스,0,X,X,X,정보 없음,X,X
펜션해다미,0,X,X,X,정보 없음,X,X
투데이제주펜션,0,X,X,X,정보 없음,X,X
휴양펜션 스위스마을 Swiss Village Pension,0,X,X,X,정보 없음,X,X
다이아나호텔,0,X,X,X,정보 없음,X,X
호텔 화인 제주,0,X,X,X,정보 없음,X,X
삼해인관광호텔,0,X,X,X,정보 없음,X,X
랑주호텔,0,X,X,X,정보 없음,X,X
더레드관광호텔,0,X,X,X,정보 없음,X,X
해오름민박,0,X,X,X,정보 없음,X,X
스머프하우스,0,X,X,X,정보 없음,X,X
뉴제주펜션,0,X,X,X,정보 없음,X,X
차귀도게스트하우스,0,X,X,X,정보 없음,X,X
우도올레펜션,0,X,X,X,정보 없음,X,X
돌고래하우스(캠핑장),0,X,X,X,정보 없음,X,X
파인힐호텔,0,X,X,X,정보 없음,X,X
제주토브,0,X,X,X,정보 없음,X,X
제주오다,0,X,X,X,정보 없음,X,X
팜힐펜션,0,X,X,X,정보 없음,X,X
제주 호텔 더블유 탑동,0,X,X,X,정보 없음,X,X
서귀포귤림성,0,X,X,X,정보 없음,X,X
썬레이크빌제주,0,X,X,X,정보 없음,X,X
제주썬호텔,0,X,X,X,정보 없음,X,X
보오메꾸뜨르호텔,0,X,X,X,정보 없음,X,X
제주팔레스호텔,0,X,X,X,정보 없음,X,X
씨에스호텔앤리조트,0,X,X,X,정보 없음,X,X
신라스테이 제주,0,X,X,X,정보 없음,X,X
유니호텔제주,0,X,X,X,정보 없음,X,X
바산올레 애견동반 펜션,0,X,X,X,정보 없음,X,X
난드르통나무집,0,X,X,X,정보 없음,X,X
이디살래,0,X,X,X,정보 없음,X,X
바다스케치,0,X,X,X,정보 없음,X,X
오비두스 스테이,0,X,X,X,정보 없음,X,X
제주하늘푸른바다펜션,0,X,X,X,정보 없음,X,X
나무향기펜션,0,X,X,X,정보 없음,X,X
잇츠힐펜션,0,X,X,X,정보 없음,X,X
에이지하우스,0,X,X,X,정보 없음,X,X
뉴코리아유스호스텔,0,X,X,X,정보 없음,X,X
피우다 게스트하우스,0,X,X,X,정보 없음,X,X
마라도별장,0,X,X,X,정보 없음,X,X
객의하우스,0,X,X,X,정보 없음,X,X
뉴경남관광호텔,0,X,X,X,정보 없음,X,X
오로라호텔,0,X,X,X,정보 없음,X,X
부영CC관광호텔,0,X,X,X,정보 없음,X,X
K관광호텔,0,X,X,X,정보 없음,X,X
그레이스관광호텔,0,X,X,X,정보 없음,X,X
골든파크호텔,1,O,X,O,조식식당,O,X
탑팰리스호텔,0,X,X,X,정보 없음,X,X
일성 제주비치콘도&리조트,0,X,X,X,정보 없음,X,X
해피휴펜션,0,X,X,X,정보 없음,X,X
비울채울펜션,0,X,X,X,정보 없음,X,X
해안풍경펜션,0,X,X,X,정보 없음,X,X
탐라누리,0,X,X,X,정보 없음,X,X
게으른소나기,0,X,X,X,정보 없음,X,X
스타즈호텔 제주 로베로,0,X,X,X,정보 없음,X,X
WE호텔 제주,5,X,X,X,정보 없음,X,X
뉴아일랜드호텔,0,X,X,X,정보 없음,X,X
로뎀펜션,0,X,X,X,정보 없음,X,X
뽀요요펜션,0,X,X,X,정보 없음,X,X
우도사랑,0,X,X,X,정보 없음,X,X
블랙샌즈호텔,0,X,X,X,정보 없음,X,X
해마호텔,0,X,X,X,정보 없음,X,X
오슬로호텔,0,X,X,X,정보 없음,X,X
제주로얄호텔,0,X,X,X,정보 없음,X,X
파크사이드호텔,0,X,X,X,정보 없음,X,X
금호리조트제주,0,X,X,X,정보 없음,X,X
바다추억,0,X,X,X,정보 없음,X,X
테마하우스,0,X,X,X,정보 없음,X,X
예다움휴양펜션,0,X,X,X,정보 없음,X,X
비치조아,0,X,X,X,정보 없음,X,X
가까이에파도소리,0,X,X,X,정보 없음,X,X
아마빌레,0,X,X,X,정보 없음,X,X
캐빈타운,0,X,X,X,정보 없음,X,X
호도하우스,0,X,X,X,정보 없음,X,X
발로바쉬,0,X,X,X,정보 없음,X,X
하늘땅물벗펜션,0,X,X,X,정보 없음,X,X
너울빌리지,0,X,X,X,정보 없음,X,X
바사팬스파,0,X,X,X,정보 없음,X,X
브라운캐빈,0,X,X,X,정보 없음,X,X
제주아일,0,X,X,X,정보 없음,X,X
루시드봉봉,0,X,X,X,정보 없음,X,X
베르사체,0,X,X,X,정보 없음,X,X
준하우스,0,X,X,X,정보 없음,X,X
모네하우스,0,X,X,X,정보 없음,X,X
하도어촌계펜션,0,X,X,X,정보 없음,X,X
제주파도소리,0,X,X,X,정보 없음,X,X
하늘조각휴양펜션,0,X,X,X,정보 없음,X,X
노블렛휴양펜션,0,X,X,X,정보 없음,X,X
함덕산티아고게스트하우스,0,X,X,X,정보 없음,X,X
아침의향기,0,X,X,X,정보 없음,X,X
우도그린휴양펜션,0,X,X,X,정보 없음,X,X
알앤비타운,0,X,X,X,정보 없음,X,X
바다로가는길목,0,X,X,X,정보 없음,X,X
해아래펜션,0,X,X,X,정보 없음,X,X
캠핑트리펜션,0,X,X,X,"글램핑, 노래방, 모닥불, 개별주차공간 등",X,X
하얀산호민박,0,X,X,X,정보 없음,X,X
제주해조대펜션,0,X,X,X,정보 없음,X,X
고양이정원,0,X,X,X,정보 없음,X,X
노낭게스트하우스,0,X,X,X,정보 없음,X,X
바닷가하우스펜션,0,X,X,X,정보 없음,X,X
메이풀하우스,0,X,X,X,정보 없음,X,X
UncleBORO게스트하우스,0,X,X,X,정보 없음,X,X
바이린하우스,0,X,X,X,정보 없음,X,X
에덴통나무빌리지,0,X,X,X,정보 없음,X,X
제주우리집펜션(폐업),0,X,X,X,정보 없음,X,X
제주 또올레 펜션,0,X,X,X,정보 없음,X,X
산방산게스트하우스,0,X,X,X,정보 없음,X,X
욜로게스트하우스,0,X,X,X,정보 없음,X,X
제주소소,0,X,X,X,정보 없음,X,X
아침의 새소리펜션,0,X,X,X,정보 없음,X,X
제주도통나무펜션,0,X,X,X,정보 없음,X,X
별마로펜션,0,X,X,X,정보 없음,X,X
로그맨하우스,0,X,X,X,정보 없음,X,X
플로라펜션,0,X,X,X,정보 없음,X,X
오름풍경펜션,0,X,X,X,정보 없음,X,X
지삿개풍경,0,X,X,X,정보 없음,X,X
해일월,0,X,X,X,정보 없음,X,X
